animalSp,plantSp,total.int,vegetation
Erithacus rubecula,Pistacia lentiscus,117,Pistacia-dominated_Scrubland
Ficedula hypoleuca,Pistacia lentiscus,2,Pistacia-dominated_Scrubland
Fringilla coelebs,Pistacia lentiscus,32,Pistacia-dominated_Scrubland
Muscicapa striata,Pistacia lentiscus,1,Pistacia-dominated_Scrubland
Parus major,Pistacia lentiscus,2,Pistacia-dominated_Scrubland
Passer domesticus,Pistacia lentiscus,15,Pistacia-dominated_Scrubland
Phoenicurus ochruros,Pistacia lentiscus,5,Pistacia-dominated_Scrubland
Phoenicurus phoenicurus,Pistacia lentiscus,8,Pistacia-dominated_Scrubland
Phylloscopus collybita,Pistacia lentiscus,2,Pistacia-dominated_Scrubland
Saxicola rubetra,Pistacia lentiscus,2,Pistacia-dominated_Scrubland
Saxicola rubicola,Pistacia lentiscus,3,Pistacia-dominated_Scrubland
Sturnus unicolor,Pistacia lentiscus,47,Pistacia-dominated_Scrubland
Sturnus vulgaris,Pistacia lentiscus,16,Pistacia-dominated_Scrubland
Sylvia atricapilla,Pistacia lentiscus,313,Pistacia-dominated_Scrubland
Sylvia borin,Pistacia lentiscus,25,Pistacia-dominated_Scrubland
Curruca iberiae,Pistacia lentiscus,1,Pistacia-dominated_Scrubland
Curruca communis,Pistacia lentiscus,4,Pistacia-dominated_Scrubland
Curruca melanocephala,Pistacia lentiscus,168,Pistacia-dominated_Scrubland
Turdus iliacus,Pistacia lentiscus,13,Pistacia-dominated_Scrubland
Turdus merula,Pistacia lentiscus,87,Pistacia-dominated_Scrubland
Turdus philomelos,Pistacia lentiscus,113,Pistacia-dominated_Scrubland
Corvus corax,Pyrus bourgaeana,2,Pistacia-dominated_Scrubland
Corvus monedula,Pyrus bourgaeana,2,Pistacia-dominated_Scrubland
Cyanopica cooki,Pyrus bourgaeana,65,Pistacia-dominated_Scrubland
Sylvia atricapilla,Pyrus bourgaeana,2,Pistacia-dominated_Scrubland
Turdus merula,Pyrus bourgaeana,4,Pistacia-dominated_Scrubland
Cyanopica cooki,Rhamnus lycioides,9,Pistacia-dominated_Scrubland
Curruca iberiae,Rhamnus lycioides,1,Pistacia-dominated_Scrubland
Curruca communis,Rhamnus lycioides,2,Pistacia-dominated_Scrubland
Curruca melanocephala,Rhamnus lycioides,4,Pistacia-dominated_Scrubland
Turdus merula,Rhamnus lycioides,5,Pistacia-dominated_Scrubland
Sylvia atricapilla,Rubia peregrina,1,Pistacia-dominated_Scrubland
Curruca melanocephala,Rubia peregrina,2,Pistacia-dominated_Scrubland
Cyanopica cooki,Rubus ulmifolius,8,Pistacia-dominated_Scrubland
Sylvia borin,Rubus ulmifolius,18,Pistacia-dominated_Scrubland
Curruca iberiae,Rubus ulmifolius,4,Pistacia-dominated_Scrubland
Curruca communis,Rubus ulmifolius,2,Pistacia-dominated_Scrubland
Curruca melanocephala,Rubus ulmifolius,2,Pistacia-dominated_Scrubland
Turdus merula,Rubus ulmifolius,25,Pistacia-dominated_Scrubland
Sylvia atricapilla,Smilax aspera,5,Pistacia-dominated_Scrubland
Turdus merula,Smilax aspera,2,Pistacia-dominated_Scrubland
